,code,name,c_name
0,600051,宁波联合,综合行业
1,600209,罗顿发展,综合行业
2,600212,*ST江泉,综合行业
5,600603,*ST兴业,综合行业
6,600614,鼎立股份,综合行业
7,600620,天宸股份,综合行业
8,600622,嘉宝集团,综合行业
9,600624,复旦复华,综合行业
10,600647,同达创业,综合行业
14,600730,中国高科,综合行业
15,600770,综艺股份,综合行业
16,600777,新潮实业,综合行业
17,600800,天津磁卡,综合行业
18,600805,悦达投资,综合行业
20,600846,同济科技,综合行业
22,000008,神州高铁,综合行业
23,000301,东方市场,综合行业
24,000576,广东甘化,综合行业
25,000632,三木集团,综合行业
26,000633,合金投资,综合行业
27,000652,泰达股份,综合行业
29,000839,中信国安,综合行业
30,000881,大连国际,综合行业
31,000909,数源科技,综合行业
32,600012,皖通高速,公路桥梁
33,600020,中原高速,公路桥梁
34,600033,福建高速,公路桥梁
35,600035,楚天高速,公路桥梁
36,600106,重庆路桥,公路桥梁
38,600350,山东高速,公路桥梁
39,600368,五洲交通,公路桥梁
40,600377,宁沪高速,公路桥梁
41,600548,深高速,公路桥梁
42,601107,四川成渝,公路桥梁
43,601188,龙江交通,公路桥梁
44,601518,吉林高速,公路桥梁
45,000429,粤高速Ａ,公路桥梁
47,000828,东莞控股,公路桥梁
48,000886,海南高速,公路桥梁
49,000900,现代投资,公路桥梁
50,000916,华北高速,公路桥梁
51,600061,国投安信,化纤行业
52,600063,皖维高新,化纤行业
53,600527,江南高纤,化纤行业
56,601113,华鼎股份,化纤行业
58,000420,吉林化纤,化纤行业
59,000584,友利控股,化纤行业
60,000615,湖北金环,化纤行业
61,000677,恒天海龙,化纤行业
62,000687,华讯方舟,化纤行业
63,000703,恒逸石化,化纤行业
64,000782,美达股份,化纤行业
65,000936,华西股份,化纤行业
67,000976,春晖股份,化纤行业
68,002015,霞客环保,化纤行业
69,002064,华峰氨纶,化纤行业
70,002080,中材科技,化纤行业
73,002254,泰和新材,化纤行业
75,002493,荣盛石化,化纤行业
76,300180,华峰超纤,化纤行业
77,600031,三一重工,机械行业
78,600114,东睦股份,机械行业
79,600149,廊坊发展,机械行业
80,600169,太原重工,机械行业
84,600320,振华重工,机械行业
85,600346,大橡塑,机械行业
86,600388,龙净环保,机械行业
87,600421,仰帆控股,机械行业
88,600435,北方导航,机械行业
89,600475,华光股份,机械行业
90,600499,科达洁能,机械行业
91,600520,中发科技,机械行业
92,600526,菲达环保,机械行业
93,600579,天华院,机械行业
94,600582,天地科技,机械行业
95,600592,龙溪股份,机械行业
96,600619,海立股份,机械行业
97,600710,*ST常林,机械行业
98,600761,安徽合力,机械行业
101,600815,厦工股份,机械行业
102,600841,上柴股份,机械行业
103,600855,航天长峰,机械行业
104,600860,京城股份,机械行业
105,600984,*ST建机,机械行业
106,601002,晋亿实业,机械行业
108,601100,恒立液压,机械行业
109,601106,中国一重,机械行业
110,601177,杭齿前进,机械行业
112,601226,华电重工,机械行业
113,601369,陕鼓动力,机械行业
114,601608,中信重工,机械行业
115,601717,郑煤机,机械行业
116,601798,蓝科高新,机械行业
117,603011,合锻股份,机械行业
119,603088,宁波精达,机械行业
120,603169,兰石重装,机械行业
130,000157,中联重科,机械行业
131,000404,华意压缩,机械行业
132,000410,沈阳机床,机械行业
133,000425,徐工机械,机械行业
134,000519,江南红箭,机械行业
135,000528,柳    工,机械行业
136,000530,大冷股份,机械行业
137,000551,创元科技,机械行业
138,000570,苏常柴Ａ,机械行业
139,000595,宝塔实业,机械行业
140,000617,*ST济柴,机械行业
141,000678,襄阳轴承,机械行业
142,000680,山推股份,机械行业
143,000777,中核科技,机械行业
145,000816,智慧农业,机械行业
146,000821,京山轻机,机械行业
148,000852,石化机械,机械行业
151,000903,云内动力,机械行业
152,000923,河北宣工,机械行业
153,000925,众合科技,机械行业
155,002009,天奇股份,机械行业
156,002011,盾安环境,机械行业
157,002026,山东威达,机械行业
158,002046,轴研科技,机械行业
159,002050,三花股份,机械行业
160,002097,山河智能,机械行业
161,002101,广东鸿图,机械行业
162,002122,天马股份,机械行业
163,002131,利欧股份,机械行业
164,002147,方圆支承,机械行业
165,002150,通润装备,机械行业
166,002158,汉钟精机,机械行业
167,002204,大连重工,机械行业
168,002209,达 意 隆,机械行业
169,002248,华东数控,机械行业
170,002255,海陆重工,机械行业
173,002278,神开股份,机械行业
174,002282,博深工具,机械行业
175,002328,新朋股份,机械行业
176,002337,赛象科技,机械行业
177,002342,巨力索具,机械行业
178,002347,泰尔重工,机械行业
180,002366,台海核电,机械行业
181,002413,雷科防务,机械行业
